stimulus_id,dynamics_rms_Mean,fluctuation_peak_PeakPosMean,fluctuation_centroid_Mean,rhythm_tempo_Mean,rhythm_attack_slope_Mean,spectral_centroid_Mean,spectral_brightness_Mean,spectral_spread_Mean,spectral_rolloff95_Mean,spectral_spectentropy_Mean,spectral_roughness_Mean,spectral_irregularity_Mean,spectral_mfcc_Mean_1,spectral_mfcc_Mean_2,spectral_mfcc_Mean_3,spectral_mfcc_Mean_4,spectral_mfcc_Mean_5,spectral_mfcc_Mean_6,spectral_mfcc_Mean_7,spectral_mfcc_Mean_8,spectral_mfcc_Mean_9,spectral_mfcc_Mean_10,spectral_mfcc_Mean_11,spectral_mfcc_Mean_13,timbre_zerocross_Mean,timbre_lowenergy_Mean,timbre_spectralflux_Mean,tonal_chromagram_peak_PeakPosMean,tonal_chromagram_centroid_Mean,tonal_keyclarity_Mean,tonal_mode_Mean,tonal_hcdf_Mean,target
zmd44gV9raw,0.964958,4.415389,4.187408,119.556711,3.593077,3604.093542,0.506963,3879.864873,11474.149623,0.793551,24937.384751,0.73535,1.990534,0.043457,0.370893,-0.145249,0.049042,-0.012127,-0.024153,0.007866,0.034153,-0.096451,-0.016781,-0.086649,1593.039683,0.459524,818.721083,61.996215,66.746081,0.453894,-0.021956,0.154334,girls
zqvBh_9EQSc,0.901949,4.324763,4.584128,116.9975,1.616803,2363.27671,0.393192,2908.530724,8218.619073,0.754498,30235.857317,0.378044,2.594802,0.058768,0.390235,-0.128648,0.158864,-0.3,0.123484,-0.081066,0.122002,0.269361,0.058508,-0.019871,1156.8801,0.558694,616.09419,51.576175,62.682327,0.563161,0.021288,0.115647,mixed
z3Rub01-9J0,0.894279,3.945031,4.468511,119.461419,3.420543,2987.144081,0.441629,3449.126276,10279.684518,0.752092,10991.623563,0.886632,2.009603,0.195695,0.216269,0.08055,0.187503,0.007965,-0.025006,-0.127618,-0.126731,-0.080288,-0.047182,0.051401,1353.900169,0.550761,866.626198,63.387633,66.614382,0.423568,-0.009624,0.164791,girls
z8xZjjBKZI8,0.917894,4.310251,4.629972,132.483369,4.85749,3940.76991,0.583666,3676.283234,11500.324209,0.805511,27476.621297,0.898608,1.734041,-0.00228,0.529265,0.127353,0.042395,0.06009,-0.067933,0.091807,-0.126802,-0.066918,-0.049474,0.059383,2332.356792,0.476268,910.125166,63.376868,68.828695,0.498298,-0.019532,0.163479,girls
0YThUgMIgac,0.955821,3.770644,4.016277,117.840428,3.156425,4419.541394,0.624476,4116.108064,12579.007975,0.825462,34660.449896,0.716106,1.410412,0.041749,0.786629,0.279389,0.135882,0.485491,-0.151597,0.162762,0.074691,0.135987,-0.012178,0.066972,2334.735484,0.455484,928.882387,59.214544,66.889001,0.456003,-0.017261,0.147237,mixed
0nAk-a4j7dE,0.909061,3.556478,4.073939,149.285975,3.92335,3343.296834,0.495106,3503.269635,10704.828541,0.790894,30747.393289,0.70756,2.164818,0.140096,0.056091,0.080193,-0.014292,-0.050792,0.089295,0.008954,-0.033865,-0.088385,-0.036681,-0.030275,1820.194049,0.477361,928.933918,65.307891,68.250226,0.515311,-0.018428,0.158906,mixed
1RLA2K18riE,0.888959,2.64342,4.272319,127.849014,4.580659,3200.537502,0.501779,3399.442098,10475.44766,0.774928,16978.313311,0.900874,2.007964,-0.102834,0.407073,0.008014,0.141269,0.044323,0.072721,0.108954,-0.002877,-0.04284,-0.036649,-0.050944,1703.388823,0.502973,864.645852,62.927563,68.251379,0.44482,-0.024519,0.157083,girls
1cBoo3E5b3Y,0.896491,2.086827,3.978119,136.365569,3.192861,2965.623491,0.480424,3454.020805,10581.941396,0.791506,32311.457703,0.592368,2.127777,-0.021944,0.231922,-0.07253,-0.109469,0.068943,-0.136131,0.204371,-0.05518,0.085593,0.045747,0.071234,1413.140496,0.570248,855.516831,57.508306,66.48737,0.524077,0.016839,0.157257,mixed
1eojD029X8E,0.879564,3.603385,4.32198,128.52404,2.953737,3211.751222,0.483127,3590.91795,10999.626312,0.789166,16211.467169,0.652894,2.005262,-0.084299,0.195848,0.100966,0.346032,0.209252,0.174983,-0.123922,-0.050697,0.000813,0.100387,0.063471,1580.801944,0.571081,871.358811,61.847889,66.719024,0.546591,-0.016418,0.158253,girls
1onOMfFae74,0.901018,4.113503,4.203641,128.976784,4.446356,3250.556043,0.458831,3606.490982,10951.812744,0.760285,17390.064698,0.847978,2.331849,0.380112,0.713708,-0.141285,0.229605,-0.221923,0.116322,0.032366,0.086773,0.043521,0.047514,-0.052123,1541.272727,0.515584,868.81149,61.684755,66.796742,0.454648,-0.007859,0.149454,girls
1yH1AS7GGZU,0.811101,3.363604,4.158337,115.24203,1.494703,3284.330468,0.585498,3102.838164,9325.081993,0.786368,11470.520438,0.637408,1.206013,-0.036702,0.348901,-0.065091,0.134278,-0.191218,0.068845,-0.051281,0.043147,-0.047624,0.044696,-0.034233,1866.121429,0.607143,899.320169,68.906057,70.722389,0.45397,-0.010821,0.172384,girls
1y538s1N3To,0.936522,4.003403,4.841889,130.640294,3.788276,3244.67006,0.514197,3450.513346,10569.503945,0.797099,26405.72832,0.771135,1.797161,0.135543,0.243965,0.025272,0.207261,-0.139613,-0.025485,0.079181,0.038246,-0.009423,-0.04945,-0.163145,1698.894096,0.480787,939.122199,61.595863,67.570845,0.461774,-0.006369,0.149901,mixed
2-m3SEGs0kM,0.858592,3.672227,4.069485,116.787687,4.919993,3174.234309,0.532299,3350.686962,10259.69864,0.768501,30155.74436,0.665831,1.69863,-0.119535,0.578432,0.473138,0.027406,0.093897,0.118144,0.189899,-0.176649,0.098179,0.021439,-0.042108,1540.21978,0.528472,923.307739,59.534562,66.255448,0.390744,-0.005881,0.146438,mixed
2J7ZM8U9bw0,0.90184,3.463672,4.05662,142.554669,4.334295,3880.351044,0.59742,3714.441741,11527.021032,0.830121,27072.742587,0.701963,1.531767,-0.192276,0.368756,-0.034875,0.09561,-0.075421,0.09517,0.060658,0.131761,-0.031814,0.087941,0.03491,2270.17331,0.592721,984.701634,62.998624,68.595963,0.454401,0.012036,0.154321,mixed
2KH0C36fKkk,0.855232,3.955841,4.618771,127.439807,3.790425,3499.610372,0.505325,3559.891758,10612.049592,0.774736,6978.270027,0.790172,1.826763,0.164429,0.439237,0.091476,0.140843,0.047009,-0.125111,-0.098766,0.031347,-0.021775,-0.016038,-0.078697,1742.684729,0.573892,819.934386,63.104623,67.233122,0.389702,-0.014878,0.167066,girls
2LZjLBipdfI,0.924956,4.187399,4.033379,112.48985,4.861734,3940.244461,0.649565,3742.923709,11775.970459,0.815872,26924.119325,0.857697,0.725952,-0.281008,0.593247,-0.194163,0.281931,-0.094648,0.175542,-0.047502,-0.169356,-0.141774,-0.140513,-0.103206,2062.389163,0.438424,953.485645,68.627884,71.318299,0.43367,-0.012985,0.190108,girls
2g5RT58wvMQ,0.855643,3.905294,4.248729,113.081355,3.043821,2925.855199,0.474762,3120.891808,9439.337306,0.751903,15615.266861,0.862876,2.312963,-0.263401,0.37792,-0.19747,0.207914,-0.15368,-0.00242,-0.128587,-0.083625,-0.035905,-0.097254,-0.004085,1665.885287,0.560266,872.316773,70.140196,72.232338,0.512822,0.003689,0.154994,girls
